State,NCESID,District,Included in national analysis,Included in nonwhite & white analysis,Included in nonwhite pov & white pov analysis,Racial concentration,Poverty,Urbanicity,Enrollment,Percent Nonwhite,Percent White,Student poverty rate,"State and local revenue, per pupil, cost adjusted","Local revenue, per pupil, cost adjusted","State revenue, per pupil, cost adjusted","State and local revenue, cost adjusted","Local revenue, cost adjusted","State revenue, cost adjusted",Median household income,Median property value
New Jersey,3412900,Pequannock Township School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,"2,195",11%,89%,4%,"$15,475.00","$13,122.00","$2,353.00","$33,967,666.00","$28,802,839.00","$5,164,826.00","$86,824.00","$377,800.00"
New Jersey,3412930,Perth Amboy City School District,yes,yes,yes,Concentrated nonwhite,high poverty,21-Suburb: Large,"11,056",98%,2%,25%,"$16,120.00","$1,947.00","$14,174.00","$178,224,995.00","$21,520,964.00","$156,704,031.00","$49,155.00","$246,500.00"
New Jersey,3412960,Phillipsburg Town School District,yes,no,no,Not concentrated,high poverty,21-Suburb: Large,"3,896",40%,60%,29%,"$17,734.00","$6,247.00","$11,487.00","$69,091,537.00","$24,337,651.00","$44,753,886.00","$44,660.00","$140,100.00"
New Jersey,3412990,Pine Hill Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"1,664",48%,52%,15%,"$18,554.00","$8,525.00","$10,028.00","$30,873,653.00","$14,186,285.00","$16,687,368.00","$46,928.00","$140,100.00"
New Jersey,3413000,Pinelands Regional School District,yes,yes,yes,Concentrated white,low poverty,41-Rural: Fringe,"1,524",13%,87%,18%,"$20,561.00","$11,902.00","$8,659.00","$31,335,654.00","$18,139,112.00","$13,196,542.00","$61,232.00","$221,000.00"
New Jersey,3413050,Piscataway Township School District,yes,yes,no,Concentrated nonwhite,low poverty,21-Suburb: Large,"7,283",83%,17%,8%,"$14,783.00","$11,493.00","$3,290.00","$107,662,805.00","$83,700,437.00","$23,962,368.00","$89,244.00","$310,900.00"
New Jersey,3413080,Pitman Borough School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,"1,435",10%,90%,7%,"$16,469.00","$8,822.00","$7,647.00","$23,633,075.00","$12,658,915.00","$10,974,160.00","$72,633.00","$188,300.00"
New Jersey,3413110,Pittsgrove Township School District,yes,yes,yes,Concentrated white,low poverty,41-Rural: Fringe,"1,732",22%,78%,10%,"$16,155.00","$7,684.00","$8,470.00","$27,979,761.00","$13,309,501.00","$14,670,259.00","$72,500.00","$216,000.00"
New Jersey,3413140,Plainfield City School District,yes,yes,yes,Concentrated nonwhite,high poverty,21-Suburb: Large,"9,397",99%,1%,26%,"$13,814.00","$2,043.00","$11,771.00","$129,808,056.00","$19,193,797.00","$110,614,259.00","$55,657.00","$235,800.00"
New Jersey,3413200,Pleasantville City School District,yes,yes,yes,Concentrated nonwhite,high poverty,22-Suburb: Mid-size,"3,850",99%,1%,31%,"$20,133.00","$2,398.00","$17,735.00","$77,511,873.00","$9,231,328.00","$68,280,546.00","$42,971.00","$157,900.00"
New Jersey,3413230,Plumsted Township School District,yes,yes,yes,Concentrated white,low poverty,41-Rural: Fringe,"1,495",11%,89%,10%,"$15,798.00","$7,490.00","$8,308.00","$23,617,571.00","$11,197,244.00","$12,420,327.00","$87,092.00","$303,000.00"
New Jersey,3413260,Pohatcong Township School District,yes,yes,yes,Concentrated white,low poverty,41-Rural: Fringe,309,11%,89%,11%,"$24,903.00","$18,182.00","$6,721.00","$7,695,164.00","$5,618,307.00","$2,076,857.00","$71,168.00","$208,100.00"
New Jersey,3413320,Point Pleasant Beach Borough School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,666,15%,85%,10%,"$25,519.00","$22,630.00","$2,889.00","$16,995,693.00","$15,071,490.00","$1,924,203.00","$87,453.00","$589,200.00"
New Jersey,3413290,Point Pleasant Borough School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,"2,799",11%,89%,9%,"$14,284.00","$10,986.00","$3,297.00","$39,980,189.00","$30,751,077.00","$9,229,113.00","$87,826.00","$363,100.00"
New Jersey,3413350,Pompton Lakes Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"1,570",27%,73%,13%,"$17,584.00","$13,634.00","$3,950.00","$29,277,038.00","$22,700,499.00","$6,576,539.00","$91,604.00","$294,800.00"
New Jersey,3413380,Port Republic City School District,yes,yes,yes,Concentrated white,low poverty,22-Suburb: Mid-size,125,5%,95%,9%,"$20,925.00","$12,046.00","$8,880.00","$2,615,655.00","$1,505,717.00","$1,109,938.00","$89,519.00","$287,900.00"
New Jersey,3413410,Princeton Public Schools,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"3,313",43%,57%,6%,"$21,844.00","$18,701.00","$3,143.00","$72,369,196.00","$61,956,473.00","$10,412,723.00","$118,467.00","$811,700.00"
New Jersey,3413470,Prospect Park Borough School District,yes,yes,yes,Concentrated nonwhite,high poverty,21-Suburb: Large,926,89%,11%,33%,"$11,269.00","$2,626.00","$8,643.00","$10,435,045.00","$2,432,043.00","$8,003,003.00","$54,009.00","$249,800.00"
New Jersey,3413500,Quinton Township School District,yes,no,no,Not concentrated,low poverty,41-Rural: Fringe,353,33%,67%,13%,"$16,887.00","$6,803.00","$10,084.00","$5,961,165.00","$2,401,589.00","$3,559,576.00","$68,083.00","$176,900.00"
New Jersey,3413530,Rahway City School District,yes,yes,no,Concentrated nonwhite,low poverty,21-Suburb: Large,"3,874",83%,17%,13%,"$14,388.00","$8,655.00","$5,733.00","$55,740,839.00","$33,530,734.00","$22,210,105.00","$66,457.00","$265,300.00"
New Jersey,3413560,Ramapo-Indian Hill Regional School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,"2,290",11%,89%,2%,"$19,768.00","$17,769.00","$1,999.00","$45,269,231.00","$40,690,799.00","$4,578,431.00","$132,339.00","$652,800.00"
New Jersey,3413590,Ramsey Borough School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,"2,867",19%,81%,3%,"$16,680.00","$14,550.00","$2,130.00","$47,821,267.00","$41,714,178.00","$6,107,089.00","$133,702.00","$559,900.00"
New Jersey,3413620,Rancocas Valley Regional School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"2,093",44%,56%,6%,"$15,341.00","$7,638.00","$7,703.00","$32,107,926.00","$15,985,666.00","$16,122,260.00","$83,634.00","$246,700.00"
New Jersey,3413650,Randolph Township School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"4,849",28%,72%,3%,"$16,094.00","$12,375.00","$3,719.00","$78,039,514.00","$60,005,920.00","$18,033,594.00","$121,334.00","$504,500.00"
New Jersey,3413710,Readington Township School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,"1,681",15%,85%,2%,"$16,598.00","$14,141.00","$2,456.00","$27,900,405.00","$23,771,660.00","$4,128,745.00","$125,703.00","$433,200.00"
New Jersey,3413740,Red Bank Borough School District,yes,yes,yes,Concentrated nonwhite,high poverty,21-Suburb: Large,"1,420",93%,7%,24%,"$13,309.00","$8,680.00","$4,629.00","$18,899,080.00","$12,325,981.00","$6,573,099.00","$69,778.00","$358,200.00"
New Jersey,3413750,Red Bank Regional School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"1,240",40%,60%,11%,"$19,440.00","$16,690.00","$2,750.00","$24,105,730.00","$20,695,722.00","$3,410,008.00","$94,226.00","$464,100.00"
New Jersey,3413770,Ridgefield Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"1,486",65%,35%,13%,"$20,223.00","$16,644.00","$3,580.00","$30,052,036.00","$24,732,278.00","$5,319,759.00","$70,461.00","$457,200.00"
New Jersey,3413800,Ridgefield Park Township School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"2,078",73%,27%,10%,"$15,435.00","$10,838.00","$4,597.00","$32,072,948.00","$22,520,522.00","$9,552,426.00","$64,980.00","$324,300.00"
New Jersey,3413830,Ridgewood Village School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"5,738",32%,68%,3%,"$14,788.00","$12,870.00","$1,918.00","$84,852,187.00","$73,848,416.00","$11,003,771.00","$144,734.00","$724,400.00"
New Jersey,3413860,Ringwood Borough School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,"1,204",14%,86%,6%,"$17,450.00","$13,808.00","$3,642.00","$21,009,983.00","$16,624,792.00","$4,385,191.00","$114,458.00","$348,900.00"
New Jersey,3412260,River Dell Regional School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"1,659",30%,70%,3%,"$16,060.00","$13,998.00","$2,062.00","$26,643,288.00","$23,223,228.00","$3,420,060.00","$121,591.00","$499,700.00"
New Jersey,3413890,River Edge Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"1,157",46%,54%,4%,"$12,950.00","$10,855.00","$2,095.00","$14,983,572.00","$12,559,304.00","$2,424,268.00","$111,250.00","$470,100.00"
New Jersey,3413950,River Vale Township School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,"1,202",18%,82%,2%,"$15,557.00","$13,679.00","$1,878.00","$18,699,849.00","$16,441,931.00","$2,257,919.00","$134,250.00","$602,700.00"
New Jersey,3413980,Riverdale Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,487,26%,74%,10%,"$13,404.00","$11,985.00","$1,419.00","$6,527,603.00","$5,836,751.00","$690,852.00","$97,045.00","$330,400.00"
New Jersey,3414010,Riverside Township School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"1,435",40%,60%,16%,"$14,057.00","$5,915.00","$8,142.00","$20,172,007.00","$8,488,196.00","$11,683,811.00","$58,876.00","$164,900.00"
New Jersey,3414040,Riverton Borough School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,390,14%,86%,4%,"$13,069.00","$10,741.00","$2,328.00","$5,096,965.00","$4,188,870.00","$908,094.00","$93,558.00","$279,000.00"
New Jersey,3417100,Robbinsville Township School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"3,022",32%,68%,2%,"$13,088.00","$11,180.00","$1,908.00","$39,551,303.00","$33,785,016.00","$5,766,287.00","$123,269.00","$399,400.00"
New Jersey,3414070,Rochelle Park Township School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,656,45%,55%,5%,"$21,455.00","$19,031.00","$2,424.00","$10,191,180.00","$9,039,571.00","$1,151,609.00","$76,354.00","$351,300.00"
New Jersey,3414100,Rockaway Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,586,37%,63%,5%,"$12,609.00","$10,656.00","$1,953.00","$7,388,801.00","$6,244,479.00","$1,144,322.00","$79,602.00","$336,600.00"
New Jersey,3414130,Rockaway Township School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"2,403",32%,68%,4%,"$17,251.00","$14,605.00","$2,646.00","$41,453,413.00","$35,095,547.00","$6,357,866.00","$103,990.00","$341,900.00"
New Jersey,3414220,Roosevelt Borough School District,yes,yes,yes,Concentrated white,low poverty,41-Rural: Fringe,121,25%,75%,5%,"$18,890.00","$11,166.00","$7,724.00","$2,285,714.00","$1,351,090.00","$934,625.00","$87,321.00","$269,900.00"
New Jersey,3414250,Roseland Borough School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,445,22%,78%,7%,"$16,098.00","$14,124.00","$1,974.00","$7,163,664.00","$6,285,285.00","$878,378.00","$96,250.00","$477,200.00"
New Jersey,3414280,Roselle Borough School District,yes,yes,no,Concentrated nonwhite,low poverty,21-Suburb: Large,"2,808",97%,3%,19%,"$14,772.00","$6,663.00","$8,109.00","$41,478,910.00","$18,709,078.00","$22,769,833.00","$46,118.00","$204,800.00"
New Jersey,3414310,Roselle Park Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"2,025",63%,37%,10%,"$14,032.00","$8,576.00","$5,456.00","$28,415,198.00","$17,366,981.00","$11,048,217.00","$66,168.00","$269,300.00"
New Jersey,3414340,Roxbury Township School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"3,707",26%,74%,4%,"$17,356.00","$12,769.00","$4,588.00","$64,340,458.00","$47,333,294.00","$17,007,164.00","$106,564.00","$342,200.00"
New Jersey,3414370,Rumson Borough School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,970,3%,97%,3%,"$14,953.00","$13,032.00","$1,921.00","$14,504,439.00","$12,640,839.00","$1,863,600.00","$135,089.00","$956,600.00"
New Jersey,3414400,Rumson-Fair Haven Regional School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,"1,002",5%,95%,2%,"$16,935.00","$14,985.00","$1,949.00","$16,968,523.00","$15,015,335.00","$1,953,188.00","$147,317.00","$748,300.00"
New Jersey,3414430,Runnemede Borough School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,906,20%,80%,12%,"$12,401.00","$6,624.00","$5,776.00","$11,234,963.00","$6,001,547.00","$5,233,416.00","$61,675.00","$169,400.00"
New Jersey,3414460,Rutherford Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"2,543",40%,60%,5%,"$14,408.00","$12,057.00","$2,351.00","$36,638,763.00","$30,661,388.00","$5,977,376.00","$87,587.00","$435,100.00"
New Jersey,3414490,Saddle Brook Township School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"1,758",32%,68%,6%,"$15,522.00","$13,602.00","$1,920.00","$27,288,196.00","$23,912,822.00","$3,375,374.00","$93,373.00","$366,600.00"
New Jersey,3414520,Saddle River Borough School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,182,24%,76%,4%,"$38,055.00","$34,401.00","$3,655.00","$6,926,094.00","$6,260,935.00","$665,158.00","$131,845.00","$1,784,500.00"
New Jersey,3414550,Salem City School District,yes,yes,yes,Concentrated nonwhite,high poverty,31-Town: Fringe,"1,119",89%,11%,49%,"$20,461.00","$3,452.00","$17,009.00","$22,895,852.00","$3,862,312.00","$19,033,539.00","$26,419.00","$96,600.00"
New Jersey,3414610,Sandyston-Walpack Township School District,yes,yes,yes,Concentrated white,low poverty,42-Rural: Distant,150,15%,85%,5%,"$15,758.00","$11,492.00","$4,265.00","$2,363,636.00","$1,723,874.00","$639,762.00","$74,338.00","$254,200.00"
New Jersey,3414640,Sayreville Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"6,149",58%,42%,9%,"$12,271.00","$8,211.00","$4,060.00","$75,456,050.00","$50,491,962.00","$24,964,088.00","$76,844.00","$292,200.00"
New Jersey,3414670,Scotch Plains-Fanwood Regional School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"5,590",30%,70%,3%,"$13,749.00","$11,932.00","$1,817.00","$76,857,768.00","$66,699,713.00","$10,158,055.00","$111,701.00","$448,800.00"
New Jersey,3414730,Sea Girt Borough School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,205,5%,95%,6%,"$19,886.00","$18,028.00","$1,858.00","$4,076,675.00","$3,695,722.00","$380,952.00","$113,333.00","$1,227,300.00"
New Jersey,3414790,Seaside Heights Borough School District,yes,no,no,Not concentrated,high poverty,21-Suburb: Large,226,63%,37%,40%,"$16,811.00","$11,102.00","$5,709.00","$3,799,311.00","$2,509,044.00","$1,290,267.00","$38,242.00","$287,500.00"
New Jersey,3414850,Secaucus Town School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"2,134",60%,40%,14%,"$13,002.00","$11,456.00","$1,546.00","$27,746,291.00","$24,447,079.00","$3,299,212.00","$94,160.00","$399,300.00"
New Jersey,3414880,Shamong Township School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,780,9%,91%,5%,"$16,784.00","$10,653.00","$6,131.00","$13,091,906.00","$8,309,444.00","$4,782,462.00","$94,588.00","$295,500.00"
New Jersey,3414940,Shore Regional School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,652,8%,92%,4%,"$20,652.00","$18,186.00","$2,466.00","$13,464,891.00","$11,857,143.00","$1,607,748.00","$95,592.00","$453,000.00"
New Jersey,3414970,Shrewsbury Borough School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,509,5%,95%,3%,"$14,376.00","$12,579.00","$1,797.00","$7,317,191.00","$6,402,744.00","$914,447.00","$116,071.00","$528,500.00"
New Jersey,3415000,Somerdale Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,520,52%,48%,14%,"$13,457.00","$7,140.00","$6,317.00","$6,997,508.00","$3,712,625.00","$3,284,884.00","$59,063.00","$161,600.00"
New Jersey,3415030,Somers Point City School District,yes,no,no,Not concentrated,high poverty,22-Suburb: Mid-size,"1,012",56%,44%,22%,"$16,057.00","$9,119.00","$6,938.00","$16,249,695.00","$9,228,114.00","$7,021,582.00","$51,752.00","$217,300.00"
New Jersey,3400009,Somerset Hills Regional School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"1,772",26%,74%,4%,"$19,368.00","$17,010.00","$2,358.00","$34,320,978.00","$30,141,956.00","$4,179,022.00","$128,542.00","$674,400.00"
New Jersey,3415090,Somerville Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"1,687",63%,37%,12%,"$14,667.00","$11,157.00","$3,510.00","$35,464,511.00","$26,977,918.00","$8,486,593.00","$68,393.00","$286,200.00"
New Jersey,3415120,South Amboy City School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"1,108",40%,60%,12%,"$13,621.00","$7,187.00","$6,434.00","$15,092,144.00","$7,962,830.00","$7,129,314.00","$66,294.00","$277,600.00"
New Jersey,3415180,South Bound Brook Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,449,69%,31%,8%,"$18,997.00","$11,594.00","$7,403.00","$8,529,625.00","$5,205,609.00","$3,324,016.00","$77,713.00","$246,600.00"
New Jersey,3415210,South Brunswick Township School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"8,790",72%,28%,4%,"$13,927.00","$10,449.00","$3,478.00","$122,417,556.00","$91,846,878.00","$30,570,678.00","$109,893.00","$399,000.00"
New Jersey,3415240,South Hackensack Township School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,358,67%,33%,11%,"$18,353.00","$16,624.00","$1,729.00","$6,570,324.00","$5,951,457.00","$618,868.00","$64,559.00","$379,100.00"
New Jersey,3415270,South Harrison Township School District,yes,yes,yes,Concentrated white,low poverty,41-Rural: Fringe,412,15%,85%,6%,"$12,297.00","$7,967.00","$4,330.00","$5,066,322.00","$3,282,515.00","$1,783,807.00","$117,027.00","$345,300.00"
New Jersey,3415330,South Orange-Maplewood School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"7,065",48%,52%,7%,"$14,023.00","$12,179.00","$1,843.00","$99,069,691.00","$86,047,725.00","$13,021,966.00","$115,779.00","$493,300.00"
New Jersey,3415360,South Plainfield Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"3,564",54%,46%,6%,"$14,407.00","$10,753.00","$3,654.00","$51,347,368.00","$38,325,222.00","$13,022,146.00","$91,957.00","$322,600.00"
New Jersey,3415390,South River Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"2,241",46%,54%,14%,"$12,060.00","$6,172.00","$5,888.00","$27,025,580.00","$13,831,528.00","$13,194,052.00","$65,254.00","$276,500.00"
New Jersey,3415420,Southampton Township School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,715,15%,85%,7%,"$21,783.00","$17,467.00","$4,316.00","$15,575,042.00","$12,489,039.00","$3,086,003.00","$54,829.00","$192,900.00"
New Jersey,3415480,Southern Regional School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,"2,921",9%,91%,9%,"$18,489.00","$16,182.00","$2,307.00","$54,005,168.00","$47,267,011.00","$6,738,157.00","$74,808.00","$320,600.00"
New Jersey,3415510,Sparta Township School District,yes,yes,yes,Concentrated white,low poverty,41-Rural: Fringe,"3,297",9%,91%,3%,"$18,541.00","$15,158.00","$3,383.00","$61,129,018.00","$49,974,384.00","$11,154,634.00","$131,150.00","$380,000.00"
New Jersey,3415540,Spotswood Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"1,530",26%,74%,7%,"$16,263.00","$11,344.00","$4,919.00","$24,882,800.00","$17,356,601.00","$7,526,199.00","$74,718.00","$283,700.00"
New Jersey,3415570,Spring Lake Borough School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,280,4%,96%,11%,"$29,321.00","$25,414.00","$3,907.00","$6,069,411.00","$5,260,694.00","$808,717.00","$93,185.00","$1,314,400.00"
New Jersey,3415600,Spring Lake Heights Borough School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,349,9%,91%,6%,"$21,623.00","$19,528.00","$2,095.00","$7,546,408.00","$6,815,174.00","$731,235.00","$68,750.00","$470,800.00"
New Jersey,3415660,Springfield Township School District,yes,yes,yes,Concentrated white,low poverty,41-Rural: Fringe,225,14%,86%,10%,"$20,041.00","$13,528.00","$6,513.00","$4,509,275.00","$3,043,845.00","$1,465,430.00","$106,875.00","$360,900.00"
New Jersey,3415630,Springfield Township School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"2,317",40%,60%,5%,"$15,355.00","$13,618.00","$1,737.00","$35,578,137.00","$31,552,733.00","$4,025,404.00","$101,416.00","$411,800.00"
New Jersey,3415690,Stafford Township School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,"2,194",12%,88%,10%,"$17,112.00","$11,794.00","$5,318.00","$37,544,358.00","$25,875,969.00","$11,668,389.00","$73,025.00","$270,800.00"
New Jersey,3415720,Stanhope Borough School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,317,21%,79%,6%,"$17,161.00","$11,696.00","$5,465.00","$5,439,893.00","$3,707,491.00","$1,732,402.00","$84,074.00","$215,000.00"
New Jersey,3402880,Sterling High School School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,969,38%,62%,10%,"$47,791.00","$40,530.00","$7,262.00","$46,309,801.00","$39,273,256.00","$7,036,545.00","$62,114.00","$167,900.00"
New Jersey,3415750,Stillwater Township School District,yes,yes,yes,Concentrated white,low poverty,41-Rural: Fringe,309,3%,97%,9%,"$18,586.00","$11,689.00","$6,897.00","$5,743,028.00","$3,611,904.00","$2,131,123.00","$79,769.00","$244,900.00"
New Jersey,3415810,Stone Harbor Borough School District,yes,yes,yes,Concentrated white,low poverty,22-Suburb: Mid-size,36,11%,89%,6%,"$42,472.00","$38,815.00","$3,657.00","$2,888,124.00","$2,639,415.00","$248,709.00","$96,250.00","$1,190,900.00"
New Jersey,3415840,Stow Creek Township School District,yes,yes,yes,Concentrated white,low poverty,41-Rural: Fringe,111,17%,83%,15%,"$18,429.00","$9,782.00","$8,647.00","$2,045,620.00","$1,085,766.00","$959,854.00","$68,846.00","$194,600.00"
New Jersey,3415870,Stratford Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,859,34%,66%,12%,"$14,660.00","$8,383.00","$6,277.00","$12,593,023.00","$7,200,997.00","$5,392,027.00","$68,990.00","$181,300.00"
New Jersey,3415900,Summit City School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"4,122",33%,67%,5%,"$14,708.00","$12,853.00","$1,855.00","$60,627,763.00","$52,980,000.00","$7,647,763.00","$136,491.00","$822,000.00"
New Jersey,3415960,Sussex-Wantage Regional School District,yes,yes,yes,Concentrated white,low poverty,41-Rural: Fringe,"1,095",7%,93%,6%,"$20,092.00","$12,193.00","$7,899.00","$22,000,277.00","$13,351,077.00","$8,649,201.00","$78,970.00","$286,500.00"
New Jersey,3415990,Swedesboro-Woolwich School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,"1,713",24%,76%,5%,"$14,175.00","$9,553.00","$4,622.00","$24,281,837.00","$16,363,547.00","$7,918,290.00","$116,016.00","$311,500.00"
New Jersey,3416020,Tabernacle Township School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,747,12%,88%,4%,"$17,133.00","$9,297.00","$7,836.00","$12,798,482.00","$6,945,194.00","$5,853,288.00","$96,475.00","$292,000.00"
New Jersey,3416080,Teaneck Township School District,yes,yes,no,Concentrated nonwhite,low poverty,21-Suburb: Large,"3,760",87%,13%,7%,"$19,637.00","$16,716.00","$2,921.00","$73,834,260.00","$62,852,663.00","$10,981,596.00","$101,128.00","$387,100.00"
New Jersey,3416110,Tenafly Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"3,666",44%,56%,5%,"$15,284.00","$13,271.00","$2,013.00","$56,031,674.00","$48,652,338.00","$7,379,336.00","$144,353.00","$750,800.00"
New Jersey,3416170,Tewksbury Township School District,yes,yes,yes,Concentrated white,low poverty,41-Rural: Fringe,603,13%,87%,2%,"$19,713.00","$16,647.00","$3,066.00","$11,886,640.00","$10,038,057.00","$1,848,583.00","$173,403.00","$646,700.00"
New Jersey,3400004,The Chathams School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,"4,174",18%,82%,2%,"$14,854.00","$13,046.00","$1,808.00","$62,000,000.00","$54,452,681.00","$7,547,319.00","$154,258.00","$774,000.00"
New Jersey,3416200,Tinton Falls Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"1,515",39%,61%,6%,"$16,340.00","$12,767.00","$3,574.00","$24,755,448.00","$19,341,404.00","$5,414,044.00","$73,185.00","$293,700.00"
New Jersey,3416230,Toms River Regional School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"15,976",25%,75%,10%,"$13,181.00","$8,195.00","$4,986.00","$210,583,979.00","$130,925,065.00","$79,658,915.00","$72,067.00","$274,200.00"
New Jersey,3416260,Totowa Borough School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"1,087",36%,64%,11%,"$13,586.00","$11,708.00","$1,878.00","$14,767,628.00","$12,726,472.00","$2,041,156.00","$96,573.00","$369,600.00"
New Jersey,3416290,Trenton City School District,yes,yes,yes,Concentrated nonwhite,high poverty,13-City: Small,"13,631",98%,2%,33%,"$16,240.00","$1,248.00","$14,992.00","$221,361,395.00","$17,011,002.00","$204,350,393.00","$34,412.00","$100,000.00"
New Jersey,3416320,Tuckerton Borough School District,yes,yes,yes,Concentrated white,low poverty,31-Town: Fringe,318,10%,90%,16%,"$15,520.00","$8,023.00","$7,497.00","$4,935,401.00","$2,551,249.00","$2,384,152.00","$64,770.00","$213,400.00"
New Jersey,3416350,Union Beach Borough School District,yes,yes,yes,Concentrated white,low poverty,21-Suburb: Large,635,19%,81%,15%,"$19,829.00","$7,687.00","$12,142.00","$12,591,606.00","$4,881,356.00","$7,710,250.00","$66,596.00","$254,100.00"
New Jersey,3416380,Union City School District,yes,yes,yes,Concentrated nonwhite,high poverty,21-Suburb: Large,"13,762",98%,2%,30%,"$12,199.00","$1,094.00","$11,106.00","$167,889,444.00","$15,053,220.00","$152,836,224.00","$42,483.00","$288,600.00"
New Jersey,3416440,Union Township School District,yes,yes,yes,Concentrated white,low poverty,41-Rural: Fringe,455,15%,85%,1%,"$19,020.00","$16,292.00","$2,728.00","$8,654,251.00","$7,412,955.00","$1,241,296.00","$123,233.00","$394,000.00"
New Jersey,3416500,Union Township School District,yes,yes,no,Concentrated nonwhite,low poverty,21-Suburb: Large,"7,404",78%,22%,9%,"$14,060.00","$9,306.00","$4,753.00","$104,098,537.00","$68,905,312.00","$35,193,226.00","$78,426.00","$311,300.00"
New Jersey,3416530,Upper Deerfield Township School District,yes,no,no,Not concentrated,low poverty,41-Rural: Fringe,913,52%,48%,20%,"$15,581.00","$7,630.00","$7,951.00","$14,225,308.00","$6,965,936.00","$7,259,373.00","$52,291.00","$207,500.00"
